EmployeeNumber,Value_of_Employee
1,5.91
2,5.61
3,7.35
4,7.44
5,4.98
6,6.02
7,5.36
8,5.49
9,5.70
10,5.86
11,4.75
12,8.76
13,5.00
14,5.65
15,7.18
16,5.15
17,6.71
18,6.10
19,6.77
20,8.46
21,4.20
22,4.70
23,5.56
24,6.84
25,4.42
26,7.40
27,5.93
28,6.10
29,7.48
30,5.35
31,6.60
32,9.65
33,6.01
34,7.45
35,6.15
36,6.53
37,6.39
38,5.81
39,6.75
40,3.63
41,6.05
42,5.98
43,4.32
44,6.23
45,6.49
46,7.38
47,4.70
48,3.67
49,7.07
50,6.85
51,7.12
52,7.22
53,5.91
54,5.78
55,7.45
56,7.55
57,4.58
58,6.64
59,7.31
60,5.42
61,7.36
62,7.16
63,9.05
64,5.40
65,6.57
66,8.49
67,4.48
68,4.74
69,3.82
70,6.21
71,4.69
72,5.87
73,4.89
74,4.97
75,5.26
76,7.05
77,4.94
78,7.30
79,4.90
80,7.10
81,8.10
82,4.57
83,6.43
84,7.35
85,4.45
86,6.18
87,4.70
88,6.47
89,6.25
90,7.44
91,6.55
92,7.87
93,6.94
94,7.01
95,4.73
96,4.32
97,3.65
98,4.09
99,7.22
100,4.10
101,6.97
102,5.46
103,7.46
104,5.65
105,5.76
106,6.52
107,5.21
108,7.82
109,6.55
110,5.90
111,4.09
112,6.78
113,8.22
114,5.27
115,5.39
116,5.74
117,6.71
118,6.30
119,4.26
120,9.66
121,4.24
122,3.76
123,5.88
124,7.41
125,7.05
126,5.25
127,8.85
128,7.69
129,6.10
130,5.43
131,5.32
132,6.51
133,7.00
134,7.88
135,6.73
136,4.98
137,5.57
138,7.16
139,5.65
140,8.33
141,3.46
142,5.53
143,7.67
144,4.82
145,7.03
146,5.89
147,6.31
148,5.16
149,5.31
150,5.10
151,4.25
152,4.91
153,7.29
154,4.99
155,6.16
156,4.30
157,5.30
158,5.79
159,5.92
160,5.64
161,5.77
162,4.18
163,5.54
164,7.26
165,6.10
166,6.32
167,4.30
168,6.48
169,6.07
170,4.95
171,7.19
172,3.73
173,5.30
174,4.52
175,6.14
176,6.86
177,5.49
178,5.32
179,5.93
180,6.21
181,7.59
182,6.29
183,6.97
184,5.83
185,5.46
186,6.76
187,7.37
188,7.64
189,5.90
190,6.84
191,7.34
192,5.87
193,5.96
194,6.29
195,5.97
196,5.27
197,5.17
198,4.57
199,5.96
200,5.69
201,4.04
202,6.29
203,8.22
204,8.57
205,5.73
206,6.59
207,6.20
208,4.46
209,5.66
210,5.78
211,7.43
212,5.26
213,6.45
214,5.98
215,7.38
216,8.84
217,4.42
218,5.85
219,7.18
220,6.31
221,7.21
222,5.79
223,7.28
224,6.25
225,5.06
226,5.67
227,5.21
228,6.39
229,5.17
230,7.56
231,5.62
232,8.75
233,5.43
234,7.64
235,7.32
236,9.59
237,3.78
238,8.32
239,4.82
240,7.69
241,5.56
242,4.12
243,3.64
244,4.97
245,7.50
246,4.39
247,5.76
248,5.67
249,3.77
250,4.63
251,4.45
252,6.75
253,5.27
254,6.93
255,7.23
256,5.46
257,7.77
258,7.09
259,4.95
260,4.59
261,3.73
262,6.17
263,6.15
264,7.55
265,4.49
266,3.96
267,6.00
268,3.73
269,8.65
270,7.90
271,8.89
272,6.04
273,6.90
274,6.51
275,5.72
276,5.35
277,5.29
278,6.34
279,3.95
280,4.63
281,8.79
282,6.45
283,4.48
284,8.54
285,5.28
286,6.95
287,6.85
288,6.33
289,6.38
290,7.17
291,7.40
292,6.31
293,5.16
294,8.12
295,6.57
296,6.56
297,5.41
298,5.95
299,5.85
300,6.48
301,6.24
302,4.97
303,4.69
304,5.85
305,6.29
306,4.12
307,6.67
308,4.89
309,7.24
310,8.20
311,4.29
312,3.66
313,6.80
314,5.68
315,8.75
316,5.33
317,8.72
318,4.87
319,6.15
320,8.36
321,7.18
322,7.70
323,5.04
324,7.42
325,7.58
326,5.15
327,6.29
328,6.83
329,5.42
330,6.50
331,5.15
332,6.08
333,6.23
334,3.67
335,6.64
336,7.25
337,6.60
338,5.78
339,6.41
340,4.41
341,6.55
342,8.35
343,8.31
344,6.94
345,6.96
346,5.81
347,8.11
348,3.73
349,5.35
350,3.88
351,7.67
352,5.72
353,4.28
354,6.25
355,6.51
356,6.03
357,5.49
358,5.46
359,5.49
360,4.67
361,6.43
362,8.22
363,3.86
364,7.17
365,4.67
366,4.72
367,4.92
368,7.60
369,7.16
370,7.74
371,5.20
372,7.30
373,5.71
374,5.33
375,6.32
376,5.77
377,6.32
378,5.87
379,5.30
380,8.75
381,8.61
382,4.27
383,4.25
384,4.56
385,5.41
386,7.28
387,6.33
388,6.29
389,4.34
390,7.19
391,5.80
392,5.03
393,4.79
394,3.86
395,4.45
396,4.98
397,8.02
398,7.19
399,5.69
400,5.41
401,7.65
402,5.38
403,5.73
404,4.83
405,5.65
406,4.28
407,8.66
408,5.52
409,7.47
410,4.11
411,6.34
412,6.23
413,6.34
414,7.13
415,5.96
416,5.67
417,7.54
418,7.52
419,4.30
420,4.59
421,5.89
422,5.03
423,5.47
424,4.51
425,5.79
426,6.76
427,5.20
428,6.85
429,5.61
430,5.03
431,6.40
432,5.92
433,6.80
434,8.35
435,7.21
436,8.71
437,4.49
438,4.92
439,8.00
440,3.53
441,5.69
442,5.30
443,5.72
444,5.22
445,5.47
446,6.31
447,6.64
448,6.03
449,6.81
450,4.60
451,7.98
452,8.17
453,6.12
454,5.57
455,6.54
456,5.49
457,6.35
458,6.15
459,3.96
460,4.90
461,4.26
462,5.46
463,7.78
464,6.72
465,6.88
466,5.08
467,5.50
468,4.88
469,7.44
470,5.43
471,6.06
472,6.28
473,4.44
474,9.77
475,7.19
476,5.71
477,5.89
478,5.61
479,5.26
480,6.60
481,3.76
482,8.07
483,3.85
484,5.88
485,6.88
486,4.91
487,8.02
488,5.94
489,6.22
490,7.85
491,4.94
492,7.44
493,4.57
494,4.65
495,8.13
496,4.44
497,5.68
498,8.54
499,5.37
500,6.47
501,7.33
502,4.84
503,7.08
504,6.80
505,3.88
506,7.74
507,6.59
508,4.63
509,6.54
510,5.72
511,6.15
512,6.76
513,5.37
514,8.46
515,4.89
516,4.32
517,3.37
518,6.01
519,5.92
520,6.34
521,5.70
522,7.49
523,5.63
524,8.67
525,6.45
526,4.06
527,6.73
528,7.18
529,6.07
530,6.23
531,5.79
532,8.02
533,6.19
534,7.32
535,6.74
536,6.71
537,4.38
538,5.12
539,7.27
540,6.18
541,7.08
542,2.29
543,8.49
544,4.14
545,9.16
546,6.98
547,6.02
548,7.24
549,6.60
550,6.08
551,5.00
552,5.32
553,6.45
554,8.49
555,4.16
556,6.09
557,7.52
558,3.49
559,5.64
560,6.44
561,4.42
562,6.14
563,8.61
564,6.08
565,4.81
566,5.30
567,6.98
568,7.26
569,8.37
570,2.61
571,4.68
572,3.77
573,4.37
574,5.05
575,5.84
576,6.97
577,5.25
578,6.50
579,6.30
580,5.05
581,4.31
582,6.15
583,5.48
584,4.35
585,6.57
586,6.18
587,4.05
588,6.00
589,7.21
590,6.08
591,7.42
592,4.08
593,8.78
594,4.65
595,6.11
596,10.00
597,5.92
598,9.12
599,6.03
600,4.86
601,6.65
602,5.17
603,7.47
604,5.60
605,5.76
606,3.36
607,5.73
608,6.46
609,6.55
610,5.20
611,8.21
612,6.34
613,6.12
614,5.41
615,6.13
616,5.34
617,6.26
618,6.12
619,3.68
620,3.75
621,5.05
622,8.34
623,5.67
624,4.61
625,8.30
626,7.36
627,5.74
628,6.42
629,6.63
630,6.83
631,5.23
632,6.66
633,7.26
634,4.02
635,7.08
636,8.67
637,6.30
638,4.84
639,4.11
640,4.35
641,4.38
642,5.24
643,5.32
644,7.28
645,7.84
646,7.00
647,6.11
648,5.74
649,5.20
650,7.59
651,5.52
652,7.55
653,5.76
654,5.24
655,6.86
656,7.92
657,6.18
658,5.69
659,6.48
660,4.98
661,7.75
662,4.54
663,5.84
664,5.36
665,7.58
666,7.22
667,6.45
668,6.99
669,5.28
670,6.81
671,5.02
672,4.29
673,5.57
674,5.83
675,8.12
676,5.40
677,8.47
678,5.14
679,4.90
680,5.21
681,6.31
682,6.12
683,4.06
684,6.69
685,3.82
686,3.98
687,8.08
688,6.81
689,7.10
690,3.24
691,8.37
692,7.03
693,5.57
694,8.35
695,5.23
696,5.44
697,4.03
698,5.39
699,5.40
700,7.29
701,5.40
702,7.60
703,5.85
704,6.19
705,6.71
706,5.82
707,5.87
708,7.87
709,4.96
710,4.01
711,6.21
712,7.09
713,5.07
714,7.04
715,7.19
716,5.55
717,5.36
718,4.80
719,5.98
720,8.32
721,5.97
722,9.14
723,3.98
724,6.46
725,6.39
726,6.76
727,4.05
728,4.61
729,6.50
730,8.16
731,6.61
732,5.80
733,3.38
734,6.39
735,3.23
736,5.25
737,6.51
738,6.36
739,8.22
740,4.90
741,4.81
742,6.82
743,5.10
744,8.19
745,2.95
746,7.63
747,5.27
748,7.46
749,4.20
750,7.70
751,9.82
752,5.02
753,6.04
754,7.28
755,4.60
756,7.63
757,5.08
758,6.63
759,7.21
760,4.09
761,5.00
762,4.19
763,4.47
764,7.58
765,5.37
766,4.26
767,8.56
768,4.66
769,4.86
770,4.60
771,7.72
772,6.20
773,4.21
774,6.86
775,4.72
776,6.91
777,7.22
778,3.92
779,6.61
780,7.24
781,2.55
782,3.11
783,4.64
784,5.73
785,5.68
786,7.15
787,4.30
788,5.46
789,7.03
790,5.62
791,6.82
792,6.70
793,4.62
794,5.36
795,4.50
796,8.73
797,8.69
798,4.02
799,5.31
800,7.56
801,2.62
802,7.82
803,5.19
804,5.22
805,4.76
806,5.33
807,6.09
808,7.50
809,5.44
810,5.59
811,6.70
812,5.78
813,4.49
814,6.66
815,6.57
816,8.14
817,3.93
818,3.55
819,4.92
820,2.95
821,6.61
822,6.17
823,5.80
824,5.27
825,5.03
826,7.32
827,6.59
828,7.10
829,4.36
830,5.04
831,6.71
832,5.16
833,6.39
834,5.90
835,4.40
836,4.84
837,4.63
838,5.72
839,6.94
840,5.48
841,5.99
842,6.17
843,8.03
844,5.12
845,5.31
846,7.28
847,5.85
848,5.46
849,5.80
850,4.24
851,3.46
852,6.82
853,5.56
854,4.83
855,6.23
856,6.69
857,3.58
858,7.64
859,7.52
860,6.25
861,6.95
862,5.91
863,5.31
864,5.81
865,1.00
866,5.00
867,4.51
868,5.74
869,5.40
870,5.73
871,7.50
872,4.13
873,3.72
874,6.21
875,5.53
876,7.85
877,6.57
878,6.83
879,3.73
880,7.61
881,4.59
882,7.98
883,7.40
884,5.91
885,4.88
886,6.03
887,7.05
888,5.94
889,7.46
890,6.38
891,4.86
892,6.67
893,4.38
894,4.78
895,7.04
896,6.71
897,4.86
898,6.90
899,6.86
900,5.83
901,4.68
902,5.53
903,4.36
904,7.50
905,7.78
906,6.68
907,6.05
908,6.69
909,8.92
910,7.66
911,6.35
912,7.69
913,7.23
914,6.62
915,8.39
916,3.58
917,6.88
918,7.02
919,8.03
920,8.19
921,5.67
922,6.84
923,7.36
924,6.24
925,7.99
926,6.92
927,9.39
928,8.32
929,6.11
930,7.24
931,4.97
932,6.64
933,6.62
934,4.45
935,5.88
936,7.17
937,5.12
938,9.20
939,5.34
940,5.58
941,3.96
942,5.53
943,5.46
944,6.14
945,5.23
946,7.29
947,7.60
948,6.96
949,7.10
950,4.82
951,6.73
