EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Value_of_Employee,Overall_Sentiment,Importance_Level,Eligible_For_Hike,Recommended_Hike_pct,New_MonthlyIncome
1,41,1,2,2,1,2,0,7,4,2,5993,8,1,1,8,0,1,6,4,0,5,5.91,NEUTRAL,Less Valuable,Yes,8.91,6526.976299999999
2,49,0,1,1,8,3,1,6,2,1,5130,1,0,4,10,3,3,10,7,1,7,5.61,NEUTRAL,Not Valuable,No,0.0,5130.0
3,37,1,2,1,2,4,1,2,3,2,2090,6,1,2,7,3,3,0,0,0,0,7.35,NEUTRAL,Very Important,Yes,16.88,2442.792
4,33,0,1,1,3,4,0,6,3,1,2909,1,1,3,8,3,3,8,7,3,0,7.44,NEUTRAL,Very Important,No,0.0,2909.0
5,27,0,2,1,2,1,1,2,2,1,3468,9,0,4,6,3,3,2,2,2,2,4.98,NEUTRAL,Not Valuable,No,0.0,3468.0
6,32,0,1,1,2,4,1,2,4,2,3068,0,0,3,8,2,2,7,7,3,6,6.02,NEUTRAL,Less Valuable,No,0.0,3068.0
7,59,0,2,1,3,3,0,2,1,1,2670,4,1,1,12,3,2,1,0,0,0,5.36,NEUTRAL,Not Valuable,No,0.0,2670.0
8,30,0,2,1,24,4,1,2,3,0,2693,1,0,2,1,2,3,1,0,0,0,5.49,NEUTRAL,Not Valuable,No,0.0,2693.0
9,38,0,1,1,23,4,1,4,3,2,9526,0,0,2,10,2,3,9,7,1,8,5.7,NEUTRAL,Less Valuable,No,0.0,9526.0
10,36,0,2,1,27,3,1,0,3,1,5237,6,0,2,17,3,2,7,7,7,7,5.86,NEUTRAL,Less Valuable,No,0.0,5237.0
11,35,0,2,1,16,1,1,2,2,1,2426,0,0,3,6,5,3,5,4,0,3,4.75,NEUTRAL,Not Valuable,No,0.0,2426.0
12,29,0,2,1,15,4,0,2,3,2,4193,0,1,4,10,3,3,9,5,0,8,8.76,NEUTRAL,Very Important,No,0.0,4193.0
13,31,0,2,1,26,1,1,6,3,0,2911,1,0,4,5,1,2,5,2,4,3,5.0,NEUTRAL,Not Valuable,No,0.0,2911.0
14,34,0,2,1,19,2,1,2,4,0,2661,0,0,3,3,2,3,2,2,1,2,5.65,NEUTRAL,Not Valuable,No,0.0,2661.0
15,28,1,2,1,24,3,1,2,3,2,2028,5,1,2,6,4,3,4,2,0,3,7.18,NEUTRAL,Very Important,Yes,18.44,2401.9632
16,29,0,2,1,21,2,0,4,1,0,9980,1,0,3,10,1,3,10,9,8,8,5.15,NEUTRAL,Not Valuable,No,0.0,9980.0
17,32,0,2,1,5,1,1,6,2,0,3298,0,1,4,7,5,2,6,2,0,5,6.71,NEUTRAL,Less Valuable,No,0.0,3298.0
18,22,0,0,1,16,4,1,2,4,0,2935,1,1,2,1,2,2,1,0,0,0,6.1,NEUTRAL,Less Valuable,No,0.0,2935.0
19,53,0,2,2,2,1,0,3,4,1,15427,2,0,3,31,3,3,25,8,3,7,6.77,NEUTRAL,Less Valuable,No,0.0,15427.0
20,38,0,2,1,2,4,1,6,4,2,3944,5,1,3,6,3,3,3,2,1,2,8.46,NEUTRAL,Very Important,No,0.0,3944.0
21,24,0,0,1,11,1,0,4,3,0,4011,0,0,4,5,5,2,4,2,1,3,4.2,NEUTRAL,Not Valuable,No,0.0,4011.0
22,36,1,2,2,9,3,1,8,1,2,3407,7,0,2,10,4,3,5,3,0,3,4.7,NEUTRAL,Not Valuable,No,0.0,3407.0
23,34,0,2,1,7,1,0,5,2,2,11994,0,0,3,13,4,3,12,6,2,11,5.56,NEUTRAL,Not Valuable,No,0.0,11994.0
24,21,0,2,1,15,3,1,6,4,2,1232,1,0,4,0,6,3,0,0,0,0,6.84,NEUTRAL,Less Valuable,No,0.0,1232.0
25,34,1,2,1,6,2,1,6,1,2,2960,2,0,3,8,2,3,4,2,1,3,4.42,NEUTRAL,Not Valuable,No,0.0,2960.0
26,53,0,2,1,5,3,0,3,3,0,19094,4,0,4,26,3,2,14,13,4,8,7.4,NEUTRAL,Very Important,No,0.0,19094.0
27,32,1,1,1,16,2,0,6,1,2,3919,1,1,2,10,5,3,10,2,6,7,5.93,NEUTRAL,Less Valuable,Yes,14.02,4468.4438
28,42,0,2,2,8,3,1,7,2,1,6825,0,0,4,10,2,3,9,7,4,2,6.1,NEUTRAL,Less Valuable,No,0.0,6825.0
29,44,0,2,1,7,1,0,0,4,1,10248,3,0,4,24,4,3,22,6,5,17,7.48,NEUTRAL,Very Important,No,0.0,10248.0
30,46,0,2,2,2,2,0,3,1,2,18947,3,0,4,22,2,2,2,2,2,1,5.35,NEUTRAL,Not Valuable,No,0.0,18947.0
31,33,0,2,1,2,3,1,2,4,2,2496,4,0,4,7,3,3,1,1,0,0,6.6,NEUTRAL,Less Valuable,No,0.0,2496.0
32,44,0,2,1,10,4,1,0,4,1,6465,2,1,4,9,5,4,4,2,1,3,9.65,NEUTRAL,Very Important,No,0.0,6465.0
33,30,0,2,1,9,4,1,2,3,2,2206,1,0,1,10,5,3,10,0,1,8,6.01,NEUTRAL,Less Valuable,No,0.0,2206.0
34,39,1,2,2,5,4,1,8,4,1,2086,3,0,3,19,6,4,1,0,0,0,7.45,NEUTRAL,Very Important,Yes,17.38,2448.5468
35,24,1,2,1,1,2,1,6,4,1,2293,2,1,1,6,2,2,2,0,2,0,6.15,NEUTRAL,Less Valuable,Yes,11.17,2549.1281
36,43,0,2,1,2,4,0,6,3,0,2645,1,0,4,6,3,2,5,3,1,4,6.53,NEUTRAL,Less Valuable,No,0.0,2645.0
37,50,1,2,2,3,1,1,8,3,1,2683,1,1,3,3,2,3,3,2,0,2,6.39,NEUTRAL,Less Valuable,Yes,11.77,2998.7891
38,35,0,2,2,2,4,0,8,4,1,2014,1,0,1,2,3,3,2,2,2,2,5.81,NEUTRAL,Less Valuable,No,0.0,2014.0
39,36,0,2,1,5,2,0,6,1,1,3419,9,1,4,6,3,4,1,1,0,0,6.75,NEUTRAL,Less Valuable,No,0.0,3419.0
40,33,0,1,2,1,3,0,7,1,1,5376,2,0,1,10,3,3,5,3,1,3,3.63,NEUTRAL,Not Valuable,No,0.0,5376.0
41,35,0,2,1,4,3,1,2,4,0,1951,1,0,3,1,3,3,1,0,0,0,6.05,NEUTRAL,Less Valuable,No,0.0,1951.0
42,27,0,2,1,2,4,0,2,1,0,2341,1,0,4,1,6,3,1,0,0,0,5.98,NEUTRAL,Less Valuable,No,0.0,2341.0
43,26,1,2,1,25,1,1,2,3,2,2293,1,0,3,1,2,2,1,0,0,1,4.32,NEUTRAL,Not Valuable,No,0.0,2293.0
44,27,0,1,2,8,4,1,7,3,2,8726,1,0,4,9,0,3,9,8,1,7,6.23,NEUTRAL,Less Valuable,No,0.0,8726.0
45,30,0,1,1,1,3,0,2,4,2,4011,1,0,4,12,2,3,12,8,3,7,6.49,NEUTRAL,Less Valuable,No,0.0,4011.0
46,41,1,2,1,12,2,0,5,3,1,19545,1,0,4,23,0,3,22,15,15,8,7.38,NEUTRAL,Very Important,Yes,13.0,22085.85
47,34,0,0,2,23,2,1,7,3,2,4568,0,0,3,10,2,3,9,5,8,7,4.7,NEUTRAL,Not Valuable,No,0.0,4568.0
48,37,0,2,1,19,2,1,6,2,1,3022,4,0,1,8,1,3,1,0,0,0,3.67,NEUTRAL,Not Valuable,No,0.0,3022.0
49,46,0,1,2,5,1,1,7,4,2,5772,4,1,3,14,4,3,9,6,0,8,7.07,NEUTRAL,Very Important,No,0.0,5772.0
50,35,0,2,1,8,4,1,2,4,1,2269,1,0,4,1,2,3,1,0,0,1,6.85,NEUTRAL,Less Valuable,No,0.0,2269.0
51,48,1,2,1,1,1,1,2,3,2,5381,9,1,4,23,2,3,1,0,0,0,7.12,NEUTRAL,Very Important,Yes,13.03,6082.144300000001
52,28,1,2,1,5,3,1,2,3,2,3441,1,1,3,2,3,2,2,2,2,2,7.22,NEUTRAL,Very Important,Yes,15.5,3974.355
53,44,0,2,2,1,2,0,7,1,0,5454,5,1,3,9,2,2,4,3,1,3,5.91,NEUTRAL,Less Valuable,No,0.0,5454.0
54,35,0,0,1,11,3,1,0,1,1,9884,2,1,3,10,3,3,4,0,2,3,5.78,NEUTRAL,Less Valuable,No,0.0,9884.0
55,26,0,2,2,23,3,0,7,4,1,4157,7,1,3,5,2,2,2,2,0,0,7.45,NEUTRAL,Very Important,No,0.0,4157.0
56,33,0,1,1,1,1,0,5,4,2,13458,1,1,3,15,1,3,15,14,8,12,7.55,NEUTRAL,Very Important,No,0.0,13458.0
57,35,0,1,2,18,2,1,7,1,1,9069,1,0,4,9,3,2,9,8,1,8,4.58,NEUTRAL,Not Valuable,No,0.0,9069.0
58,35,0,2,1,23,3,0,2,1,1,4014,3,1,3,4,3,3,2,2,2,2,6.64,NEUTRAL,Less Valuable,No,0.0,4014.0
59,31,0,2,1,7,4,1,2,4,0,5915,3,0,4,10,3,2,7,7,1,7,7.31,NEUTRAL,Very Important,No,0.0,5915.0
60,37,0,2,1,1,1,1,4,3,0,5993,1,0,3,7,2,4,7,5,0,7,5.42,NEUTRAL,Not Valuable,No,0.0,5993.0
61,32,0,2,1,1,1,1,4,4,1,6162,1,1,2,9,3,3,9,8,7,8,7.36,NEUTRAL,Very Important,No,0.0,6162.0
62,38,0,1,1,29,4,0,2,4,2,2406,1,0,4,10,2,3,10,3,9,9,7.16,NEUTRAL,Very Important,No,0.0,2406.0
63,50,0,2,1,7,2,0,5,3,0,18740,5,1,4,29,2,2,27,3,13,8,9.05,NEUTRAL,Very Important,No,0.0,18740.0
64,59,0,2,2,25,1,0,7,1,2,7637,7,0,4,28,3,2,21,16,7,9,5.4,NEUTRAL,Not Valuable,No,0.0,7637.0
65,36,0,2,1,8,3,0,0,3,0,10096,1,0,2,17,2,3,17,14,12,8,6.57,NEUTRAL,Less Valuable,No,0.0,10096.0
66,55,0,2,1,8,4,0,3,3,0,14756,2,1,3,21,2,3,5,0,0,2,8.49,NEUTRAL,Very Important,No,0.0,14756.0
67,36,0,1,1,11,2,1,4,2,2,6499,1,0,3,6,3,3,6,5,0,3,4.48,NEUTRAL,Not Valuable,No,0.0,6499.0
68,45,0,2,1,7,2,1,6,1,0,9724,2,0,3,25,2,3,1,0,0,0,4.74,NEUTRAL,Not Valuable,No,0.0,9724.0
