Employee_id,How satisfied are you with your current role and responsibilities?,How supported do you feel by your manager and team?,How do you feel about your opportunities for career growth and learning?,How was your overall work environment this month?,Do you get enough breaks or downtime during work?,How_satisfied_are_you_with_you_sentiment,How_satisfied_are_you_with_you_score,How_satisfied_are_you_with_you_confidence,How_supported_do_you_feel_by_y_sentiment,How_supported_do_you_feel_by_y_score,How_supported_do_you_feel_by_y_confidence,How_do_you_feel_about_your_opp_sentiment,How_do_you_feel_about_your_opp_score,How_do_you_feel_about_your_opp_confidence,How_was_your_overall_work_envi_sentiment,How_was_your_overall_work_envi_score,How_was_your_overall_work_envi_confidence,Do_you_get_enough_breaks_or_do_sentiment,Do_you_get_enough_breaks_or_do_score,Do_you_get_enough_breaks_or_do_confidence,Overall_Sentiment,Avg_Sentiment_Score,Avg_Confidence_Score
3,"I’m relatively satisfied with my position, though it could use some variety. The work is steady, but sometimes it feels like I’m stuck in the same cycle. I’d like to take on new projects to keep things interesting. It’s a good role overall, but it doesn’t inspire much enthusiasm.","I think the support I receive is fair but forgettable. My manager is approachable in theory, though I often have to wait for responses. My team is easy to work with, but we mostly stick to our own tasks. There’s no real conflict, but also no real sense of unity. It’s okay—steady but emotionally flat.",The focus on learning and development here is exceptional. I’ve had mentors who’ve guided me through complex projects with patience and insight. My manager ensures I get challenging yet rewarding work. The company’s culture pushes everyone to be better than they were yesterday. It’s empowering and fulfilling to be part of such growth.,"The environment this month has been inspiring. There was mutual respect and teamwork in everything we did. My manager’s leadership style kept everyone engaged and motivated. There was laughter, collaboration, and focus in equal measure. It made me look forward to coming to work. I’d say it’s been one of the best months so far.","I’d say I get enough breaks to function, though they’re not consistent. The workload fluctuates, which affects how often I can rest. My manager supports balance, but doesn’t really enforce it. It’s comfortable most of the time, but not particularly relaxing. It’s okay overall.",NEUTRAL,0.0,0.6227152347564697,NEUTRAL,0.0,0.6999353170394897,POSITIVE,1.0,0.8871200680732727,POSITIVE,1.0,0.7559978365898132,NEUTRAL,0.0,0.8055205345153809,POSITIVE,0.4,0.7543
15,I’m very content with my current responsibilities. The projects I’m assigned to are meaningful and allow me to contribute directly to company goals. I enjoy having a supportive team that values collaboration. My job gives me room to grow without overwhelming pressure. It feels great to work in a place where my potential is being utilized effectively.,"I think the support I receive is fair but forgettable. My manager is approachable in theory, though I often have to wait for responses. My team is easy to work with, but we mostly stick to our own tasks. There’s no real conflict, but also no real sense of unity. It’s okay—steady but emotionally flat.","I feel somewhat in the middle when it comes to growth and learning. There are opportunities, but they’re not always accessible or consistent. My manager supports me occasionally, though not with much follow-up. I’ve learned some useful things, but I wouldn’t say I’ve developed significantly. It’s a neutral experience overall.","I really appreciated the atmosphere at work this month. Everyone was cooperative, and there was a sense of harmony in the office. My manager’s leadership helped maintain a calm, organized pace. There was also a noticeable improvement in collaboration between teams. I felt comfortable sharing my thoughts and ideas freely. It’s been a motivating and refreshing environment.","No, I don’t think I get nearly enough downtime. The pace of work is too fast, and there’s little understanding from management. My manager rarely checks in on how the team is coping. We’re expected to just keep working no matter what. It’s draining, both physically and mentally.",POSITIVE,1.0,0.5843499898910522,NEUTRAL,0.0,0.6999353170394897,NEUTRAL,0.0,0.7278719544410706,POSITIVE,1.0,0.5482275485992432,NEGATIVE,-0.5,0.5998088717460632,POSITIVE,0.3,0.632
34,I feel exhausted and uninspired by my current responsibilities. There’s no excitement or sense of growth left. The tasks I’m assigned don’t match my interests or abilities. It’s frustrating to keep doing work that feels pointless. I’m starting to feel like I’m wasting my potential in this role.,"There’s a serious communication gap between me and my manager. I often don’t know what’s expected until the last minute. When I ask questions, responses are brief or unclear. My team doesn’t really collaborate either; everyone’s just trying to finish their own part. I feel disconnected and unsupported, like I’m operating in a vacuum. It’s stressful and demotivating.","My learning curve here has been steep in the best way possible. The company challenges me with meaningful projects that develop my confidence. My manager’s feedback is detailed, which helps me refine my work. The team environment also promotes shared learning and collaboration. It’s been a great journey of continuous improvement.","The overall environment this month felt very negative. Everyone seemed exhausted, and there was little appreciation or teamwork. My manager was impatient, which made things worse. There was a noticeable lack of morale and motivation. I’ve been feeling burned out because of how heavy the atmosphere has been.","I’m very happy with the way breaks are managed at work. We’re allowed to take small pauses whenever needed without being micromanaged. My manager trusts us to handle our time responsibly, which makes it easier to recharge. I use my breaks to grab a coffee or stretch a bit, and it really helps. The flexibility keeps my motivation high. It’s one of the reasons I enjoy my job.",NEGATIVE,-0.5,0.5834929943084717,NEGATIVE,-0.5,0.5692007541656494,POSITIVE,1.0,0.6897551417350769,NEGATIVE,-0.5,0.5895718932151794,POSITIVE,1.0,0.7165982127189636,NEUTRAL,0.1,0.6297
46,"I’d describe my job as steady and reliable, though not thrilling. I get along with my team and enjoy the people I work with. Still, the nature of my tasks doesn’t really inspire me. It’s easy to do the work, but hard to feel passionate about it. Overall, it’s a neutral experience — neither exciting nor disappointing.","My manager’s leadership style is one of empathy and patience, which makes a huge difference. They notice when someone’s struggling and step in with help or reassurance. The team itself has great chemistry—we communicate openly and respect each other’s time. I always feel like I can count on my coworkers for honest feedback or extra help. That level of care makes work fulfilling.","Growth here depends on how much initiative you take. My manager is open to helping, but they don’t usually bring up learning discussions themselves. I’ve developed some new skills, though mostly on my own. It’s a comfortable setup, but I wouldn’t say it’s very dynamic. It’s an average experience overall.","The office atmosphere this month was warm and supportive. Colleagues helped each other willingly, which made even tough days manageable. My manager was encouraging and always available for feedback. I noticed higher morale across the team. It’s been great to work in such a positive and inclusive space. I hope this spirit continues.","The lack of rest is definitely affecting my performance. There’s no clear system for taking breaks, and the workload never stops. My manager expects results constantly, with no concern for recovery. It’s mentally draining and demotivating. I feel trapped in a nonstop cycle of fatigue.",NEUTRAL,0.0,0.729733943939209,POSITIVE,1.0,0.6482506394386292,NEUTRAL,0.0,0.6783508062362671,POSITIVE,1.0,0.6993449926376343,NEGATIVE,-0.5,0.6030392646789551,POSITIVE,0.3,0.6717
51,"I think my role is satisfactory but not particularly fulfilling. I do what’s required, and I do it well, but I rarely feel challenged. It’s a bit of a comfort zone situation — steady but uninspiring. I wouldn’t mind taking on something new to reignite my motivation. For now, I’m just maintaining consistency.","I find it hard to rely on my manager because they’re inconsistent with their support. Sometimes they’re available, but most of the time I’m left guessing. My coworkers are kind, but they don’t really engage beyond their immediate tasks. It often feels like everyone’s working on separate islands. The lack of connection makes collaboration nearly impossible.","I feel that growth here happens gradually, without much formal guidance. My manager encourages learning but doesn’t have a clear strategy for it. The company offers online courses, though few are relevant to my role. I’ve picked up new skills by working on diverse tasks. It’s a neutral experience—neither discouraging nor especially rewarding.","It was a decent month overall in terms of environment. The workload was balanced, and people were professional. My manager communicated when necessary but wasn’t very interactive. Team morale was stable but not high. It felt like a smooth, routine period—nothing special, nothing stressful.","I haven’t had a proper break in weeks. The pace of work is just too high, and no one seems to care. My manager pushes for productivity without considering exhaustion. I feel constantly tired and irritable. It’s affecting my concentration and mood. Something really needs to change.",NEUTRAL,0.0,0.7141236662864685,NEGATIVE,-0.5,0.5474953055381775,NEUTRAL,0.0,0.5331549048423767,NEUTRAL,0.0,0.8092879056930542,NEGATIVE,-0.5,0.6324512362480164,NEUTRAL,-0.2,0.6473
52,"I feel undervalued and unmotivated in my role. The responsibilities I’ve been given are monotonous, and there’s no real growth path. I don’t feel supported by management, which makes it even harder to stay positive. Most days, it feels like I’m just completing tasks with no purpose. I really need something more meaningful to stay engaged.","I feel fortunate to have such an understanding manager who genuinely wants us to succeed. They take time to recognize our efforts and give constructive advice. The team dynamic is equally positive; everyone is approachable and kind. When I struggle, help arrives without me having to ask twice. That collective care makes this workplace special.","The company has done a great job of creating learning opportunities for employees. There’s always something new to explore, whether through internal training or external certification programs. My manager ensures that these opportunities align with my career goals. I’ve developed a lot of confidence and competence over time. It’s a great place for anyone who wants to grow.","The work environment this month has been one of teamwork, respect, and growth. My manager’s approachable attitude made it easy to discuss challenges. Colleagues helped one another willingly, and everyone stayed motivated. Even during high-pressure weeks, we maintained positivity. It’s been inspiring to see how far the team has come. I’m truly happy with this month’s environment.","Yes, I get enough rest and mental breaks during my day. The company culture supports a balanced schedule, so I don’t feel overwhelmed. My manager trusts me to manage my time effectively. Even when deadlines are tight, we’re reminded to take short pauses. It’s comforting to know I work in a place that values well-being. I feel both productive and cared for.",NEGATIVE,-0.5,0.6767146587371826,POSITIVE,1.0,0.6616291999816895,POSITIVE,1.0,0.7800721526145935,POSITIVE,1.0,0.8413376808166504,POSITIVE,0.5,0.4480457901954651,POSITIVE,0.6,0.6816
90,"This job has been one of the most rewarding experiences of my career. The responsibilities align with what I enjoy doing the most, and that makes a huge difference. I’m trusted to manage key projects, which makes me feel valued. The sense of independence and teamwork is perfectly balanced. I feel a strong sense of satisfaction every day.","Having a manager who truly listens is rare, and I’m lucky to have one. They understand my strengths and help me play to them effectively. My team complements that by offering constant collaboration and humor to keep morale high. It’s a nurturing environment that allows us to perform our best. I feel both appreciated and supported every step of the way.",I feel neglected when it comes to career progression. There are no opportunities to take on challenging work or learn new skills. The company doesn’t offer relevant training programs either. My manager never brings up development unless it’s part of the annual review. It feels like personal growth isn’t a priority here at all.,"The overall work environment this month has been energetic and uplifting. My team worked with a strong sense of unity, and deadlines were met without chaos. The mood in the office was positive, and it helped me stay productive. My manager was approachable, always checking in and offering help when needed. I felt appreciated for my efforts and motivated to do even better. It’s been a truly fulfilling few weeks.","Breaks are available, but they’re often self-managed. My manager trusts us to take them responsibly, but I find it hard to disconnect when things are hectic. Some weeks I manage to rest properly, others not so much. The culture supports it, but workload balance doesn’t. It’s fine overall.",POSITIVE,1.0,0.917937159538269,POSITIVE,1.0,0.7580124139785767,NEGATIVE,-0.5,0.5465252995491028,POSITIVE,1.0,0.5479916334152222,NEUTRAL,0.0,0.6618933081626892,POSITIVE,0.5,0.6865
101,"I find my work genuinely fulfilling because I can see how my role contributes to the bigger picture. I feel trusted to make decisions, and that freedom motivates me to give my best effort. The balance between routine tasks and new challenges keeps things interesting. My manager’s feedback helps me grow and refine my approach. It feels great to be in a role where I’m both supported and empowered.","I think the support I receive is fair but forgettable. My manager is approachable in theory, though I often have to wait for responses. My team is easy to work with, but we mostly stick to our own tasks. There’s no real conflict, but also no real sense of unity. It’s okay—steady but emotionally flat.","I’ve experienced tremendous learning since joining this organization. My manager ensures that I’m exposed to different aspects of the business, which keeps things interesting. The company’s willingness to invest in training makes me feel appreciated. I also love how open the team is to sharing knowledge with one another. It’s an ideal setup for personal and professional development.","The workplace felt very balanced this month. Communication improved, and everyone seemed on the same page. My manager made an effort to connect with the team regularly. It helped build a sense of trust and openness. I felt supported, respected, and comfortable expressing myself. The calm and focused environment was very refreshing.","No, I don’t think I get enough downtime during work hours. The team is constantly under pressure to meet deadlines. My manager keeps adding urgent tasks, and it’s impossible to pause without guilt. Even lunch breaks get interrupted by calls. It’s draining and frustrating to work like this daily.",POSITIVE,1.0,0.6389712691307068,NEUTRAL,0.0,0.6999353170394897,POSITIVE,1.0,0.7150139808654785,POSITIVE,1.0,0.6227075457572937,NEGATIVE,-0.5,0.5358094573020935,POSITIVE,0.5,0.6425
103,"I’ve grown increasingly dissatisfied with my current responsibilities. The job lacks variety, and I rarely get to learn anything new. It feels like I’m stuck in the same loop day after day. I don’t feel recognized for the effort I put in, which makes it worse. I wish there were opportunities to grow or take on something meaningful.","I’ve reached a point where I feel disconnected and unmotivated due to the lack of support. My manager doesn’t take time to understand my challenges, and the team feels distant. There’s no collaboration, no encouragement, just pressure to deliver. It’s exhausting to work in an environment where no one seems to care. I genuinely wish the leadership was more present and engaged.","I’ve been working here for quite some time, but my career hasn’t progressed much. There’s no mentoring, no upskilling, and no exposure to new responsibilities. My manager focuses only on short-term tasks. I feel like I’ve hit a dead end with little opportunity to advance. It’s demotivating to work hard without any sense of direction."," This month’s work environment felt really tense and exhausting. There was constant pressure from management, and communication was poor across teams. Everyone seemed stressed, which made the atmosphere heavy. My manager didn’t seem approachable, and minor issues often turned into big ones. It was hard to stay motivated in such a rigid environment. I honestly felt drained most days.","I get enough downtime most days, but not always when I need it. Sometimes the schedule is too tight to step away for even a few minutes. My manager is understanding, but the workload doesn’t always cooperate. When things are smooth, it’s easier to rest. Overall, it’s balanced but could use improvement.",NEGATIVE,-0.5,0.668724536895752,NEGATIVE,-0.5,0.5529698133468628,NEGATIVE,-0.5,0.6583960056304932,NEGATIVE,-0.5,0.6301435232162476,NEUTRAL,0.0,0.7253783345222473,NEGATIVE,-0.4,0.6471
108,"My current responsibilities feel overwhelming and poorly structured. I often have to manage unrealistic expectations with little to no support. It’s frustrating when I give my best but still feel like it isn’t enough. I’m constantly under pressure, and it’s starting to affect my enthusiasm for the job. I don’t feel like my hard work is leading to any real progress.","I feel unsupported because there’s no real feedback or encouragement from my manager. It’s like I’m invisible unless something goes wrong. The team dynamic isn’t much better—collaboration is minimal, and communication feels forced. It’s frustrating to work hard and still feel like I’m on my own. Motivation is hard to sustain in this kind of environment.",I feel empowered because the company prioritizes development alongside performance. I’ve been able to explore new responsibilities that align with my career interests. My manager encourages me to take ownership of learning goals and supports me throughout. The consistent growth I see in myself makes me excited for the future. It’s a great place to evolve as a professional.,"The work environment this month was genuinely pleasant. There was a lot of cooperation between departments, and things ran smoothly. My manager fostered a friendly yet productive tone in meetings. I felt heard whenever I shared ideas or concerns. It was a good balance between professionalism and warmth. The positivity made me more confident in my work.","The downtime I get is okay most of the time. My manager doesn’t stop anyone from taking short breaks, but during busy periods, it’s difficult to do so. I usually take a few minutes here and there between meetings. It’s not ideal, but I make it work. I wouldn’t say I’m overworked, just not as rested as I could be.",NEGATIVE,-0.5,0.6818112134933472,NEGATIVE,-0.5,0.6484498381614685,POSITIVE,1.0,0.750582754611969,POSITIVE,1.0,0.4782003164291382,NEUTRAL,0.0,0.8372182846069336,NEUTRAL,0.2,0.6793
